comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-0.00142734693273,1,30.5527600899,0.033735736729,0.0278526505395
p90_minus_mean,Both,all,-0.000695434042939,1,1398.86004296,0.0339011079874,0.0280820622494
p90_minus_mean,Both,all,0,1627,390148.433185,0.302960145527,0.0920660323653
p90_minus_mean,Both,all,0.000180026500061,1,42.1239134766,0.303125516785,0.0920729406469
p90_minus_mean,Both,all,0.000381319669629,1,1219.22977787,0.303290888044,0.092272893165
p90_minus_mean,Both,all,0.000674601154827,1,2443.25075535,0.303456259302,0.0926735839535
p90_minus_mean,Both,all,0.00125069097999,1,184.583419704,0.303621630561,0.0927038554579
p90_minus_mean,Both,all,0.00282944499003,1,487.153365854,0.303787001819,0.0927837481442
p90_minus_mean,Both,all,0.00410431302501,1,89.9797837007,0.303952373078,0.0927985047428
p90_minus_mean,Both,all,0.00679882369394,1,200.633539637,0.304117744336,0.0928314084515
p90_minus_mean,Both,all,0.0070456400577,1,6.89338477301,0.304283115595,0.09283253896
p90_minus_mean,Both,all,0.00980715874744,1,56.5421698753,0.304448486853,0.0928418118218
p90_minus_mean,Both,all,0.0108198655148,1,956.293398411,0.304613858111,0.0929986430251
p90_minus_mean,Both,all,0.0112725818882,1,672.810123329,0.30477922937,0.0931089832422
p90_minus_mean,Both,all,0.0159451289031,1,183.058918878,0.304944600628,0.0931390047299
p90_minus_mean,Both,all,0.016629743693,1,25.081901818,0.305109971887,0.0931431181378
p90_minus_mean,Both,all,0.0181019605805,1,509.525803922,0.305275343145,0.0932266798826
p90_minus_mean,Both,all,0.027697572957,1,1165.51900722,0.305440714404,0.0934178238858
p90_minus_mean,Both,all,0.0374431937649,1,79.6807759887,0.305606085662,0.0934308914569
p90_minus_mean,Both,all,0.0412912631945,1,79.0162787882,0.305771456921,0.093443850051
p90_minus_mean,Both,all,0.0483509532608,1,0.473841595343,0.305936828179,0.0934439277606
p90_minus_mean,Both,all,0.0556707558008,1,26.8895284988,0.306102199438,0.0934483376176
p90_minus_mean,Both,all,0.0606357270947,1,74.0970415856,0.306267570696,0.0934604894616
p90_minus_mean,Both,all,0.0608890366888,1,804.416668225,0.306432941955,0.0935924130263
p90_minus_mean,Both,all,0.0659859118323,1,2412.47041346,0.306598313213,0.0939880558681
p90_minus_mean,Both,all,0.0691164834163,1,1723.33876171,0.306763684472,0.0942706817777
p90_minus_mean,Both,all,0.0834650248256,1,1051.97954552,0.30692905573,0.0944432054177
p90_minus_mean,Both,all,0.0838992151661,1,27.7577238205,0.307094426989,0.0944477576578
p90_minus_mean,Both,all,0.0872855503451,1,80.9520802112,0.307259798247,0.0944610337216
p90_minus_mean,Both,all,0.0896800945368,1,861.961866713,0.307425169506,0.0946023946438
p90_minus_mean,Both,all,0.0946334778745,1,2969.78050772,0.307590540764,0.0950894358084
p90_minus_mean,Both,all,0.11675483233,1,50.6640004246,0.307755912022,0.0950977446561
p90_minus_mean,Both,all,0.129903434689,1,518.718298545,0.307921283281,0.0951828139612
p90_minus_mean,Both,all,0.134355045194,1,1.82478022374,0.308086654539,0.0951831132234
p90_minus_mean,Both,all,0.158573131268,1,3640.52789536,0.308252025798,0.0957801563184
p90_minus_mean,Both,all,0.167155922778,1,1233.71755468,0.308417397056,0.0959824848181
p90_minus_mean,Both,all,0.194681881343,1,0.78120028503,0.308582768315,0.0959826129342
p90_minus_mean,Both,all,0.201626205168,1,6.9382771833,0.308748139573,0.0959837508051
p90_minus_mean,Both,all,0.21361719805,1,65.263101191,0.308913510832,0.0959944538913
p90_minus_mean,Both,all,0.228237605275,1,29.6215747626,0.30907888209,0.0959993118012
p90_minus_mean,Both,all,0.23044033772,1,455.793574449,0.309244253349,0.0960740615118
p90_minus_mean,Both,all,0.238828512677,1,91.3528953227,0.309409624607,0.0960890432993
p90_minus_mean,Both,all,0.250303231043,1,538.580644498,0.309574995866,0.0961773700102
p90_minus_mean,Both,all,0.258036602733,1,1456.19427071,0.309740367124,0.0964161844786
p90_minus_mean,Both,all,0.260035508711,1,246.231654551,0.309905738383,0.0964565662346
p90_minus_mean,Both,all,0.306675388228,1,97.8512128876,0.310071109641,0.09647261374
